Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
22644-15590,C,Mason,Mason Plumlee,Plumlee,20.18823601,34,4400,DEN@MIN,DEN,MIN,0,0
22644-9455,PG,Rajon,Rajon Rondo,Rondo,24.01578883,19,5600,BKN@NO,NO,BKN,0,0
22644-9585,SG,Dwyane,Dwyane Wade,Wade,25.10645122,31,5200,CLE@SAC,CLE,SAC,0,0
22644-15904,SG,Rodney,Rodney Hood,Hood,24.3884606,26,6100,UTA@GS,UTA,GS,0,0
22644-23665,SG,Buddy,Buddy Hield,Hield,21.64333293,30,5000,CLE@SAC,SAC,CLE,0,0
22644-16604,SG,Justin,Justin Holiday,Holiday,26.55937576,32,5300,NY@CHI,CHI,NY,0,0
22644-9598,PF,Ersan,Ersan Ilyasova,Ilyasova,21.40909091,22,4800,WAS@ATL,ATL,WAS,0,0
22644-9636,SF,Wilson,Wilson Chandler,Chandler,21.09666748,30,4700,DEN@MIN,DEN,MIN,0,0
22644-59318,SF,Joe,Joe Ingles,Ingles,23.3,35,4800,UTA@GS,UTA,GS,0,0
22644-9495,PG,J.J.,J.J. Barea,Barea,24.27999965,35,5000,DAL@IND,DAL,IND,0,0
22644-15501,SF,Allen,Allen Crabbe,Crabbe,20.4517233,29,4200,BKN@NO,BKN,NO,0,0
22644-14503,C,Jonas,Jonas Valanciunas,Valanciunas,22.80714199,28,4700,TOR@OKC,TOR,OKC,0,0
22644-14530,SF,Bojan,Bojan Bogdanovic,Bogdanovic,20.82646987,34,4300,DAL@IND,IND,DAL,0,0
22644-55060,SG,Bogdan,Bogdan Bogdanovic,Bogdanovic,18.65861985,29,4000,CLE@SAC,SAC,CLE,0,0
22644-59358,PF,Domantas,Domantas Sabonis,Sabonis,25.02499962,32,5400,DAL@IND,IND,DAL,0,0
22644-24546,SF,Denzel,Denzel Valentine,Valentine,21.70606024,33,4600,NY@CHI,CHI,NY,0,0
22644-9713,PG,Jarrett,Jarrett Jack,Jack,19.8483867,31,4500,NY@CHI,NY,CHI,0,0
22644-58461,PF,Trey,Trey Lyles,Lyles,16.59310387,29,4400,DEN@MIN,DEN,MIN,0,0
22644-9500,PF,Dirk,Dirk Nowitzki,Nowitzki,23.21142927,35,4800,DAL@IND,DAL,IND,0,0
22644-40769,PF,Jordan,Jordan Bell,Bell,16.71785736,28,4900,UTA@GS,GS,UTA,0,0
22644-9703,PG,George,George Hill,Hill,19.84642901,28,4500,CLE@SAC,SAC,CLE,0,0
22644-12369,SF,Lance,Lance Stephenson,Stephenson,19.24705954,34,4300,DAL@IND,IND,DAL,0,0
22644-14496,PG,Ricky,Ricky Rubio,Rubio,25.23235366,34,5700,UTA@GS,UTA,GS,0,0
22644-80814,PG,Dennis,Dennis Smith Jr.,Smith Jr.,24.78518564,27,5100,DAL@IND,DAL,IND,0,0
22644-9873,C,Robin,Robin Lopez,Lopez,24.01515152,33,4500,NY@CHI,CHI,NY,0,0
22644-23772,PG,Yogi,Yogi Ferrell,Ferrell,18.67714321,35,4600,DAL@IND,DAL,IND,0,0
22644-9661,C,Marcin,Marcin Gortat,Gortat,24.89117611,34,5600,WAS@ATL,WAS,ATL,0,0
22644-42156,PF,Bobby,Bobby Portis,Portis,24.04583232,24,4600,NY@CHI,CHI,NY,0,0
22644-14511,PF,Markieff,Markieff Morris,Morris,18.96153846,26,4700,WAS@ATL,WAS,ATL,0,0
22644-40562,SG,Josh,Josh Hart,Hart,11.38148103,27,4500,MEM@LAL,LAL,MEM,0,0
22644-14554,SF,E'Twaun,E'Twaun Moore,Moore,21.45757502,33,4600,BKN@NO,NO,BKN,0,0
